# Time, S0, S1
1.461872136592864990e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.479470472335815430e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.497071104049682617e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.514670207500457764e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.532269916534423828e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.549870786666870117e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.567470011711120605e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.585070760250091553e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.602669017314910889e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.620269739627838135e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.637875454425811768e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.655470926761627197e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.673070743083953857e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.690669975280761719e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.708270845413208008e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.725870635509490967e+02,2.300000000000000000e+01,2.281200000000000117e+01
1.743470749855041504e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.761072211265563965e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.778671438694000244e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.796271193027496338e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.814671394824981689e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.832271134853363037e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.849871103763580322e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.867471125125885010e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.885070984363555908e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.902673118114471436e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.920271053314208984e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.937871031761169434e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.955472147464752197e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.973070650100708008e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.990671107769012451e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.008272249698638916e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.025871195793151855e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.043471331596374512e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.061071269512176514e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.078670244216918945e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.096271307468414307e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.113869073390960693e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.131471452713012695e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.149070763587951660e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.166670598983764648e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.184270653724670410e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.201869938373565674e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.219470067024230957e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.237070202827453613e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.254670736789703369e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.272269897460937500e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.289872009754180908e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.307470757961273193e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.325069887638092041e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.342669887542724609e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.360270612239837646e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.377870039939880371e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.395469911098480225e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.413072204589843750e+02,2.300000000000000000e+01,2.287500000000000000e+01
2.430670597553253174e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.448271131515502930e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.465870404243469238e+02,2.300000000000000000e+01,2.281200000000000117e+01
2.483470950126647949e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.501070277690887451e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.518669860363006592e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.536269857883453369e+02,2.300000000000000000e+01,2.281200000000000117e+01
2.553870899677276611e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.571470134258270264e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.589070231914520264e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.606670863628387451e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.624270484447479248e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.642669799327850342e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.660270514488220215e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.677869911193847656e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.695471229553222656e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.713069880008697510e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.730670366287231445e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.748270823955535889e+02,2.300000000000000000e+01,2.281200000000000117e+01
2.765870010852813721e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.783470816612243652e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.801070506572723389e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.818670184612274170e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.836270029544830322e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.853871109485626221e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.871470499038696289e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.889069957733154297e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.906670880317687988e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.924270982742309570e+02,2.293700000000000117e+01,2.281200000000000117e+01
2.941870114803314209e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.959470405578613281e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.977070267200469971e+02,2.293700000000000117e+01,2.287500000000000000e+01
2.994669916629791260e+02,2.293700000000000117e+01,2.287500000000000000e+01
3.012270429134368896e+02,2.293700000000000117e+01,2.287500000000000000e+01
